Field,Type of Data,Description,Full tag name (tags only),Source,Notes
opportunities_mastery,Tag - Specific Practice,Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,Multiple Opportunities to Demonstrate Mastery,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
synchronous_online,Tag - Specific Practice,"Online learning activities occur synchronously, where consistent groups of students participate at the same designated time.",Synchronous online Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
print_materials,Tag - Specific Practice,"For remote learning, curricular materials are printed and distributed physically.",Print Materials,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
student_conferences,Tag - Specific Practice,Students plan and lead a meeting including parents and teachers to discuss the student's learning and growth. (As opposed to parent-teacher conferences without students present.),Student-Led Conferences,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
families_leaders,Tag - Specific Practice,"The school involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",Families as Co-Leaders,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
design_thinking,Tag - Specific Practice,"Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",Design Thinking Process,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
flexible_facilities,Tag - Specific Practice,"Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",Flexible Facilities & Classroom Design,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
adaptive_content,Tag - Specific Practice,Content is adapted to individual learners (may be accomplished using adaptive learning software).,Adaptive Content,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
assessment_schedule,Tag - Specific Practice,"The school allows students to complete assessments when they are ready, rather than all at once on a fixed schedule.",Flexible assessment Schedule,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
udl,Tag - Specific Practice,"The school designs learning experiences to proactively meet the needs of all learners by identifying barriers to learning in the design of the environment, not in the student. This helps educators differentiate to effectively instruct a diverse group of students, regardless of whether students have an Individualized Education Program (IEP).",Universal Design for Learning,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
dual_language,Tag - Specific Practice,A form of bilingual education in which students are taught literacy and content in two languages.,Dual Language Programming,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
open_hours,Tag - Specific Practice,The school is open outside of normal hours and during vacations to support learning and offer services.,Expanded Open Hours,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
interoperability,Tag - Specific Practice,"Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",Interoperable Data From Multiple Technologies,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
advancement_mastery,Tag - Specific Practice,"Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",Advancement on Mastery,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
alternating_weeks,Tag - Specific Practice,"Some students attend school one week, and others the next.",Alternating Weeks,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
teachers_choose_modality,Tag - Specific Practice,"Teachers can opt into their instructional modality of choice (e.g. fully remote, fully in-person, or hybrid)",Teachers Can Choose Instructional Modality,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
lab_rotation,Tag - Specific Practice,"Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station located in a dedicated computer lab.",Lab Rotation,School Survey,"A value of ""1"" indicates that the survey respondent reported the practice at the school. A value showing a time period indicates that the survey respondent both reported the practice, and indicated it as one of up to five practices that are core to the school model. The time period refers to the length of time the survey respondent reports the core practice being implemented."
conditions_desire_cutting_edge,School information,Desire to be on the cutting edge and demonstrate what's possible.,,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_external_catalyst_events,School information,"External catalyst events, e.g., a partnership, a visit to another school, an unexpected source of funding.",,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_lack_of_student_agency,School information,Lack of student agency.,,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_lack_of_teacher_agency,School information,Lack of teacher agency.,,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_change_in_demographics,School information,Change in demographics.,,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_negative_factors_inside_school,School information,"Negative factors inside the school, e.g., toxic culture or low achievement.",,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_covid19_closures,School information,School building closures related to COVID-19.,,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_stakeholder_demand,School information,"Stakeholder demand or advocacy, e.g., from the community, district leadership, teachers, or state agency.",,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_systemic_inequities,School information,Systemic inequities e.g. racism or poverty.,,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_other_rank,School information,Indicates if a condition was submitted by the survey respondent (see variable conditions_other_text),,School Survey,The number in the cell indicates that the survey respondent selected the item as one of the conditions that led the school to adopt its current model. The number refers to the ranking assigned by the survey respondent. Blank cells indicate the condition was not selected.
conditions_other_text,School information,Survey respondent's submission of a condition that led the school to adopt its current model.,,School Survey,
NCES_id,Public Data,Unique National Center for Education Statistics identification number for the school,,,
student_count,Public Data,Total student enrollment at the school,,CCD 2017-2019,
black_percent,Public Data,"% of enrolled students - Black (calculated based on count of students in the category, and total enrollment)",,CCD 2017-2019,
hawaiian_native_percent,Public Data,"% of enrolled students - Hawaiian Native or Pacific Islander (calculated based on count of students in the category, and total enrollment)",,CCD 2017-2019,
native_percent,Public Data,"% of enrolled students - American Indian or Alaska Native (calculated based on count of students in the category, and total enrollment)",,CCD 2017-2019,
multiple_races_percent,Public Data,"% of enrolled students - 2 or more races (calculated based on count of students in the category, and total enrollment)",,CCD 2017-2019,
asian_percent,Public Data,"% of enrolled students - Asian (calculated based on count of students in the category, and total enrollment)",,CCD 2017-2019,
hispanic_percent,Public Data,"% of enrolled students - Hispanic (calculated based on count of students in the category, and total enrollment)",,CCD 2017-2019,
white_percent,Public Data,"% of enrolled students - White (calculated based on count of students in the category, and total enrollment)",,CCD 2017-2019,
pk_grade,Public Data,Indicates if the school offers pre-K,,CCD 2017-2019,
kg_grade,Public Data,Indicates if the school offers kindergarten,,CCD 2017-2019,
1_grade,Public Data,Indicates if the school offers first grade,,CCD 2017-2019,
2_grade,Public Data,Indicates if the school offers second grade,,CCD 2017-2019,
3_grade,Public Data,Indicates if the school offers third grade,,CCD 2017-2019,
4_grade,Public Data,Indicates if the school offers fourth grade,,CCD 2017-2019,
5_grade,Public Data,Indicates if the school offers fifth grade,,CCD 2017-2019,
6_grade,Public Data,Indicates if the school offers sixth grade,,CCD 2017-2019,
7_grade,Public Data,Indicates if the school offers seventh grade,,CCD 2017-2019,
8_grade,Public Data,Indicates if the school offers eighth grade,,CCD 2017-2019,
9_grade,Public Data,Indicates if the school offers ninth grade,,CCD 2017-2019,
10_grade,Public Data,Indicates if the school offers tenth grade,,CCD 2017-2019,
11_grade,Public Data,Indicates if the school offers eleventh grade,,CCD 2017-2019,
12_grade,Public Data,Indicates if the school offers twelfth grade,,CCD 2017-2019,
suspended_percent,Public Data,% of students recieving one or more suspensions annually,,Civil Right Data Collection 2015-16,
chron_absent_percent,Public Data,% of students chronically absent annually,,Civil Right Data Collection 2015-16,
LEP_percent,Public Data,% of students with limited English proficiency ,,Civil Right Data Collection 2015-16,
IDEA_percent,Public Data,% of students with a disability as defined by the Individuals with Disabilies in Education Act,,Civil Right Data Collection 2015-16,
title_i_schoolwide,Public Data,School-wide Title I indicator. A program in which all the pupils in a school are designated under appropriate state and federal regulations as being eligible for participation in programs authorized by Title I of Public Law 103-382.,,CCD 2017-2019,
type,Public Data,"Indicates if a school is a Charter, District (traditional public school), or Independant (private)",,CCD 2017-2019,
magnet,Public Data,"Indicates whether the school is a magnet school. A magnet is a special school or program designed to attract students of different racial/ethnic backgrounds for the purpose of reducing, preventing, or eliminating racial isolation (50 percent or more minority enrollment); and/or to provide an academic or social focus on a particular theme (e.g., science/mathematics, performing arts, gifted/talented, or foreign language).",,CCD 2017-2019,
direct_certification_count,Public Data,The unduplicated count of students in membership whose National School Lunch Program (NSLP) eligibility has been determined through direct certification,,CCD 2017-2019,
website,Public Data,School's website,,CCD 2017-2019,
locale,Public Data,"Indicates whether the school is located in an urban, suburban, or rural context. This variable was determined by the Christensen Institute based on the local_original variable. ""City"" codes were categorized as Urban, ""Suburb"" codes were categorized as Suburban, and ""Rural"" and ""Town"" codes were categorized as rural.
",,CCD 2017-2019,
FRPL_percent,Public Data,Percentage of students eligible to participate in the Free and Reduced-Price Lunch Program,,CCD 2017-2019,
average_grad_rate,Public Data,Average 4-year cohorot graduation rate (high schools only),,EDFacts,
ELA_School_Average,Public Data,"The percentage of students at or above proficiency on state English language arts testing, averaged across grades 3-8 ",,EDFacts,
Math_School_Average,Public Data,"The percentage of students at or above proficiency on state math testing, averaged across grades 3-8 ",,EDFacts,
,,,,,
"Fields from ""Fall 2020 Nomination Data""",,,,,
nominator,Nomination information,Name of nominating organization (Nominators could choose to remain anonymous in the public dataset.),,Nomination Survey,
school_id,Metadata,Canopy school ID number assigned by the Canopy project,,,
school_name_n,Nomination information,"Name of the school, as reported by the nominator",,Nomination Survey,
school_city_n,Nomination information,"City where the school is located, as reported by the nominator",,Nomination Survey,
school_state_n,Nomination information,"State where the school is located, as reported by the nominator",,Nomination Survey,
school_district_n,Nomination information,"School district, as reported by the nominator",,Nomination Survey,
school_within_school_n,Nomination information,"Indicates whether the nominator reports that the school is a school-within-school. This response was used to help the Canopy team correctly identify the school and NCES ID number, and may not be consistent with the response to the same question on the school survey.",,Nomination Survey,
school_structure_n,Nomination information,"Description of the set-up or structure of the school, if it was marked school-within-school.",,Nomination Survey,
nominator_reason,Nomination information,"Nominator's response to the question ""What stands out about this school’s model? Why are you excited to nominate it?""",,Nomination Survey,
strong_covid19_approach,Nomination information,"Nominator's response to the question ""In your judgment, does this school have a particularly strong approach to navigating the challenges of COVID-19?""",,Nomination Survey,
why_covid19_approach,Nomination information,"Nominator's response to the question ""What about the school’s approach to navigating COVID-19 have you found to be particularly noteworthy?""",,Nomination Survey,
know_school,Nomination information,"Nominator's response to the question ""How do you know this school?""",,Nomination Survey,
suggested_tags_n,Nomination information,Additional keywords suggested by the nominator to describe the school's model,,Nomination Survey,
expanded_success,Tag - General Approach,"See description above. Tags in the nomination survey were indicated by the nominator, and may not match the school's responses.",Expanded Measures of Success,Nomination Survey,
pbl,Tag - General Approach,"See description above. Tags in the nomination survey were indicated by the nominator, and may not match the school's responses.",Project-Based Learning,Nomination Survey,
competency_education,Tag - General Approach,"See description above. Tags in the nomination survey were indicated by the nominator, and may not match the school's responses.",Competency/Mastery-Based Education,Nomination Survey,
design_equity,Tag - General Approach,"See description above. Tags in the nomination survey were indicated by the nominator, and may not match the school's responses.",Designing for Equity,Nomination Survey,
anti_racist_action,Tag - General Approach,"See description above. Tags in the nomination survey were indicated by the nominator, and may not match the school's responses.",Culture of Anti-Racist Action,Nomination Survey,
sel,Tag - General Approach,"See description above. Tags in the nomination survey were indicated by the nominator, and may not match the school's responses.",Social-Emotional Learning,Nomination Survey,
blended_learning,Tag - General Approach,"See description above. Tags in the nomination survey were indicated by the nominator, and may not match the school's responses.",Blended Learning,Nomination Survey,
school_participated,Metadata,Indicates whether the school participated in the Fall 2020 School Survey,,,
NCES_id,Public Data,Unique National Center for Education Statistics identification number for the school,,,
